did,tsne_x,tsne_y
tensor(6),38.634396,11.697066
tensor(71),47.723953,-19.769968
tensor(17),-51.411884,-4.8963733
tensor(22),-14.050146,28.472185
tensor(62),28.226646,53.573296
tensor(3),8.381732,-34.6614
tensor(65),-27.12691,-5.5240917
tensor(72),-1.531905,34.967304
tensor(64),-48.993294,12.379569
tensor(71),38.99027,-28.20132
tensor(91),11.455623,-55.53426
tensor(23),-21.201256,-0.14710633
tensor(75),-13.622497,-17.871675
tensor(71),45.60228,-25.065458
tensor(83),16.796597,-16.621574
tensor(9),69.76471,-0.07525909
tensor(11),-40.050804,35.00333
tensor(94),-1.620592,-10.2943
tensor(72),-1.292839,35.378696
tensor(91),14.557599,-52.75575
tensor(72),-1.7010257,34.631195
tensor(91),5.8931646,-61.05147
tensor(94),6.133036,-13.114469
tensor(12),-42.613422,-8.831226
tensor(96),-54.583057,-17.50517
tensor(14),33.626194,-53.896877
tensor(14),22.465708,-49.439465
tensor(62),1.4824506,3.6153386
tensor(91),13.694546,-53.352757
tensor(71),39.921787,-27.62384
tensor(71),47.086388,-15.260407
tensor(62),4.989258,0.7469687
tensor(72),0.063817166,42.17906
tensor(93),54.204754,-47.2299
tensor(17),-52.622646,-3.4372177
tensor(19),20.376543,7.7077107
tensor(64),-47.327023,11.311736
tensor(15),-4.1352496,-41.736523
tensor(91),2.7180378,-63.152447
tensor(16),17.080395,46.035442
tensor(71),46.11772,-13.166206
tensor(11),-20.118124,-7.0235972
tensor(67),41.464523,-29.990046
tensor(17),-52.851772,11.408615
tensor(73),-34.449097,-15.068658
tensor(5),4.0906496,-19.481241
tensor(22),-13.279162,40.41999
tensor(86),54.436222,22.698671
tensor(71),44.349377,-25.494787
tensor(17),-52.934418,11.302445
tensor(91),7.6257277,-59.953285
tensor(93),47.544,-46.638966
tensor(86),61.860085,10.525595
tensor(4),-56.110916,24.926292
tensor(37),62.144344,17.877035
tensor(90),21.699188,26.364388
tensor(64),-37.081776,1.6691192
tensor(72),0.05045037,42.5238
tensor(3),7.350483,-34.941586
tensor(67),52.02978,-25.299028
tensor(75),-15.029385,-17.988153
tensor(17),-53.598766,-1.8241892
tensor(83),15.412156,-17.777498
tensor(94),37.993576,-7.9102592
tensor(64),-43.877007,6.7243757
tensor(1),-5.7115226,18.550892
tensor(64),-45.40057,8.315114
tensor(75),-32.76356,18.505062
tensor(83),20.702942,-8.746103
tensor(9),69.4801,1.9649934
tensor(75),-14.176039,-18.283085
tensor(75),-30.987164,16.54802
tensor(65),-45.25753,33.513092
tensor(67),55.377197,-25.930605
tensor(37),58.24021,27.741173
tensor(83),1.1841327,-20.699324
tensor(3),-14.93907,-45.655655
tensor(0),-58.383377,-23.423304
tensor(72),0.26258233,45.628906
tensor(66),15.239779,26.13212
tensor(73),-11.479227,48.056973
tensor(12),-44.772503,0.5147179
tensor(87),21.638153,20.295181
tensor(91),9.458269,-57.640015
tensor(97),3.657646,50.890514
tensor(87),28.871744,23.792198
tensor(97),3.4725413,37.69961
tensor(3),-15.736577,-46.04476
tensor(3),-10.334327,-43.145405
tensor(23),-36.636356,30.9815
tensor(86),55.850365,26.58832
tensor(11),-23.210466,3.0242348
tensor(96),-63.617737,-7.301383
tensor(64),-26.295427,-7.890713
tensor(7),-15.3152075,30.845396
tensor(90),15.045381,11.064957
tensor(3),-3.3243876,-40.017105
tensor(62),30.166716,47.962715
tensor(67),48.632294,-25.156097
tensor(87),5.36717,5.058731
tensor(6),35.477913,9.583732
tensor(73),-33.784534,-15.152308
tensor(95),-12.914864,-64.269394
tensor(83),22.23523,-8.038657
tensor(75),-33.50723,19.265368
tensor(15),2.4240978,-38.90358
tensor(95),-17.458267,-58.13116
tensor(75),-41.05492,18.998106
tensor(97),3.864197,45.795612
tensor(16),33.791824,9.923799
tensor(67),45.454655,-26.66436
tensor(9),50.248356,-48.30325
tensor(93),54.21383,-46.935577
tensor(97),3.5547452,50.84009
tensor(90),18.714386,16.494886
tensor(67),54.414467,-25.736877
tensor(16),33.229107,6.85744
tensor(17),-47.980846,-8.387864
tensor(16),13.739811,51.747997
tensor(2),-64.39127,-12.852369
tensor(91),15.128288,-52.50641
tensor(71),47.718224,-20.516096
tensor(75),-13.825513,-6.891809
tensor(95),-10.486095,-66.61368
tensor(87),10.986313,7.1649675
tensor(3),-8.51192,-42.45261
tensor(72),0.10090945,43.107403
tensor(94),9.459276,-14.218855
tensor(12),-43.3383,-1.5562619
tensor(1),2.9182143,28.43878
tensor(90),21.796616,29.145058
tensor(14),22.8989,-49.39366
tensor(71),47.71994,-18.051126
tensor(3),6.734007,-35.42876
tensor(96),-60.670994,-13.69478
tensor(90),20.31337,19.760729
tensor(94),-1.1386447,-10.493519
tensor(64),-37.24523,1.7677704
tensor(67),57.27498,-26.280558
tensor(94),32.512447,-12.361598
tensor(72),-3.6794438,30.35074
tensor(67),61.856743,-27.171062
tensor(4),-57.02582,24.194408
tensor(17),-52.08747,-4.096352
tensor(72),0.30749437,48.13028
tensor(16),-0.26906744,-17.116377
tensor(83),-6.5842376,-20.006695
tensor(91),12.463101,-54.498524
tensor(73),-15.809683,37.121845
tensor(96),-61.169083,-12.826484
tensor(17),-52.4238,-3.7116606
tensor(7),-15.6158695,46.889957
tensor(22),2.4057271,53.329563
tensor(72),0.13801828,16.737534
tensor(11),-39.479977,32.918224
tensor(15),-36.14122,-28.131947
tensor(17),-53.874935,9.274121
tensor(5),21.696486,-17.486532
tensor(66),15.803311,27.227142
tensor(19),14.942924,54.625477
tensor(83),-10.839175,-21.974483
tensor(6),30.974663,3.9586349
tensor(17),-53.827534,-1.291281
tensor(93),-44.68691,-37.65131
tensor(4),-58.253185,23.087753
tensor(16),4.0838127,-10.6953745
tensor(67),41.37327,-29.996843
tensor(4),-37.989788,-16.011808
tensor(4),-20.7669,25.480146
tensor(9),68.58096,-2.1367087
tensor(94),34.974957,-10.8773575
tensor(16),33.03331,12.275957
tensor(12),-50.350464,3.9855328
tensor(66),0.56784415,12.568324
tensor(3),8.117845,-34.85187
tensor(11),-26.565937,7.2726483
tensor(22),3.3531013,52.676342
tensor(86),58.62293,28.744316
tensor(95),-17.053526,-58.801796
tensor(6),38.047302,11.315828
tensor(22),-33.98769,-14.514713
tensor(83),-11.608529,-21.670195
tensor(62),13.488025,4.188314
tensor(7),-19.065136,50.373142
tensor(16),33.37038,7.147989
tensor(17),-49.779594,-6.538006
tensor(16),13.557647,51.87322
tensor(71),45.795856,-12.14897
tensor(87),27.11976,23.273361
tensor(12),-42.62154,-9.452766
tensor(64),-42.650146,5.8914704
tensor(73),-13.655385,46.70392
tensor(17),-52.14486,-4.0704603
tensor(72),0.17784536,39.940308
tensor(73),-14.596088,43.796837
tensor(17),-46.05485,-10.328551
tensor(62),29.794092,48.909576
tensor(9),68.45859,-3.0405006
tensor(73),-15.01369,42.605545
tensor(87),6.1813087,5.4935117
tensor(94),-1.3418045,-10.393905
tensor(23),-21.926716,-14.493919
tensor(94),35.9051,-10.193632
tensor(22),-8.741553,51.73365
tensor(9),70.43343,1.5944141
tensor(6),0.58667725,-12.652362
tensor(86),56.32849,27.255007
tensor(5),26.022213,-14.219923
tensor(62),0.72203815,4.036409
tensor(9),68.821014,-5.5812526
tensor(4),-55.964535,25.028835
tensor(12),-42.617813,-10.135149
tensor(65),-29.287264,2.0166469
tensor(3),-1.0649233,-39.22584
tensor(75),-41.734825,18.351162
tensor(95),-14.351652,-62.165833
