开始 sweep 相场物理参数（并行=1）
Sweep: phy_weight × phy_alpha × phy_beta
启动任务: phy_weight=0.001 phy_alpha=0.5 phy_beta=0.5
Experiment name: VAEv12_MDN_lat=16_K=16_beta=0.001_warm=0.1_gamma=0.001_warm=0.1_phy_weight=0.001_phy_alpha=0.5_phy_beta=0.5scale=0.5_time=20260123_095021
[Epoch 0058] beta=0.001 gamma=0.001 | Train total=0.0061 | Val total=0.0049 | Val ctr_nll=3.5413 | Val ctr_mse=0.073586 | Val conf=0.275
[Epoch 0059] beta=0.001 gamma=0.001 | Train total=0.0062 | Val total=0.0049 | Val ctr_nll=3.6326 | Val ctr_mse=0.075138 | Val conf=0.286
[Epoch 0060] beta=0.001 gamma=0.001 | Train total=0.0063 | Val total=0.0048 | Val ctr_nll=3.0171 | Val ctr_mse=0.073096 | Val conf=0.310
[Epoch 0061] beta=0.001 gamma=0.001 | Train total=0.0060 | Val total=0.0047 | Val ctr_nll=2.7276 | Val ctr_mse=0.068397 | Val conf=0.325
[Epoch 0062] beta=0.001 gamma=0.001 | Train total=0.0060 | Val total=0.0043 | Val ctr_nll=2.5092 | Val ctr_mse=0.069347 | Val conf=0.327
[Epoch 0063] beta=0.001 gamma=0.001 | Train total=0.0059 | Val total=0.0043 | Val ctr_nll=2.5776 | Val ctr_mse=0.070723 | Val conf=0.322
[Epoch 0064] beta=0.001 gamma=0.001 | Train total=0.0059 | Val total=0.0041 | Val ctr_nll=2.0286 | Val ctr_mse=0.066176 | Val conf=0.357
[Epoch 0065] beta=0.001 gamma=0.001 | Train total=0.0060 | Val total=0.0046 | Val ctr_nll=2.8753 | Val ctr_mse=0.071736 | Val conf=0.348
[Epoch 0066] beta=0.001 gamma=0.001 | Train total=0.0059 | Val total=0.0047 | Val ctr_nll=2.8244 | Val ctr_mse=0.068536 | Val conf=0.327
[Epoch 0067] beta=0.001 gamma=0.001 | Train total=0.0059 | Val total=0.0039 | Val ctr_nll=1.5634 | Val ctr_mse=0.064203 | Val conf=0.336
[Epoch 0068] beta=0.001 gamma=0.001 | Train total=0.0058 | Val total=0.0043 | Val ctr_nll=1.9987 | Val ctr_mse=0.065393 | Val conf=0.336
[Epoch 0069] beta=0.001 gamma=0.001 | Train total=0.0057 | Val total=0.0051 | Val ctr_nll=2.8470 | Val ctr_mse=0.072951 | Val conf=0.309
[Epoch 0070] beta=0.001 gamma=0.001 | Train total=0.0061 | Val total=0.0038 | Val ctr_nll=1.4633 | Val ctr_mse=0.065211 | Val conf=0.349
[Epoch 0071] beta=0.001 gamma=0.001 | Train total=0.0058 | Val total=0.0038 | Val ctr_nll=1.3117 | Val ctr_mse=0.061955 | Val conf=0.361
[Epoch 0072] beta=0.001 gamma=0.001 | Train total=0.0057 | Val total=0.0046 | Val ctr_nll=1.9085 | Val ctr_mse=0.065558 | Val conf=0.419
[Epoch 0073] beta=0.001 gamma=0.001 | Train total=0.0059 | Val total=0.0038 | Val ctr_nll=1.2134 | Val ctr_mse=0.061580 | Val conf=0.364
[Epoch 0074] beta=0.001 gamma=0.001 | Train total=0.0057 | Val total=0.0038 | Val ctr_nll=1.1164 | Val ctr_mse=0.060420 | Val conf=0.354
[Epoch 0075] beta=0.001 gamma=0.001 | Train total=0.0056 | Val total=0.0038 | Val ctr_nll=0.8575 | Val ctr_mse=0.059669 | Val conf=0.391
[Epoch 0076] beta=0.001 gamma=0.001 | Train total=0.0055 | Val total=0.0034 | Val ctr_nll=0.6764 | Val ctr_mse=0.059571 | Val conf=0.352
[Epoch 0077] beta=0.001 gamma=0.001 | Train total=0.0053 | Val total=0.0032 | Val ctr_nll=0.3424 | Val ctr_mse=0.058190 | Val conf=0.361
[Epoch 0078] beta=0.001 gamma=0.001 | Train total=0.0053 | Val total=0.0039 | Val ctr_nll=0.8445 | Val ctr_mse=0.060996 | Val conf=0.382
[Epoch 0079] beta=0.001 gamma=0.001 | Train total=0.0053 | Val total=0.0032 | Val ctr_nll=0.4906 | Val ctr_mse=0.059478 | Val conf=0.369
[Epoch 0080] beta=0.001 gamma=0.001 | Train total=0.0053 | Val total=0.0031 | Val ctr_nll=-0.0628 | Val ctr_mse=0.057162 | Val conf=0.404
[Epoch 0081] beta=0.001 gamma=0.001 | Train total=0.0053 | Val total=0.0030 | Val ctr_nll=0.1576 | Val ctr_mse=0.055468 | Val conf=0.367
[Epoch 0082] beta=0.001 gamma=0.001 | Train total=0.0052 | Val total=0.0025 | Val ctr_nll=-0.8635 | Val ctr_mse=0.053035 | Val conf=0.446
[Epoch 0083] beta=0.001 gamma=0.001 | Train total=0.0052 | Val total=0.0032 | Val ctr_nll=0.0895 | Val ctr_mse=0.060684 | Val conf=0.359
