开始 sweep 相场物理参数（并行=1）
Sweep: phy_weight × phy_alpha × phy_beta
启动任务: phy_weight=0.001 phy_alpha=0.5 phy_beta=0.5
Experiment name: VAEv12_MDN_lat=16_K=16_beta=0.001_warm=0.1_gamma=0.001_warm=0.1_phy_weight=0.001_phy_alpha=0.5_phy_beta=0.5scale=0.5_time=20260123_095021
[Epoch 0644] beta=0.001 gamma=0.001 | Train total=-0.0150 | Val total=-0.0180 | Val ctr_nll=-23.1834 | Val ctr_mse=0.020489 | Val conf=0.507
[Epoch 0645] beta=0.001 gamma=0.001 | Train total=-0.0164 | Val total=-0.0176 | Val ctr_nll=-22.6541 | Val ctr_mse=0.022068 | Val conf=0.529
[Epoch 0646] beta=0.001 gamma=0.001 | Train total=-0.0173 | Val total=-0.0182 | Val ctr_nll=-23.5275 | Val ctr_mse=0.020146 | Val conf=0.520
[Epoch 0647] beta=0.001 gamma=0.001 | Train total=-0.0166 | Val total=-0.0155 | Val ctr_nll=-20.8134 | Val ctr_mse=0.022664 | Val conf=0.543
[Epoch 0648] beta=0.001 gamma=0.001 | Train total=-0.0156 | Val total=-0.0165 | Val ctr_nll=-21.4898 | Val ctr_mse=0.021990 | Val conf=0.543
[Epoch 0649] beta=0.001 gamma=0.001 | Train total=-0.0163 | Val total=-0.0191 | Val ctr_nll=-24.2185 | Val ctr_mse=0.020885 | Val conf=0.520
[Epoch 0650] beta=0.001 gamma=0.001 | Train total=-0.0162 | Val total=-0.0120 | Val ctr_nll=-17.6010 | Val ctr_mse=0.023623 | Val conf=0.548
[Epoch 0651] beta=0.001 gamma=0.001 | Train total=-0.0131 | Val total=-0.0114 | Val ctr_nll=-16.6975 | Val ctr_mse=0.028753 | Val conf=0.561
[Epoch 0652] beta=0.001 gamma=0.001 | Train total=-0.0138 | Val total=-0.0156 | Val ctr_nll=-20.8588 | Val ctr_mse=0.024390 | Val conf=0.522
[Epoch 0653] beta=0.001 gamma=0.001 | Train total=-0.0159 | Val total=-0.0158 | Val ctr_nll=-21.2944 | Val ctr_mse=0.021421 | Val conf=0.533
[Epoch 0654] beta=0.001 gamma=0.001 | Train total=-0.0155 | Val total=-0.0179 | Val ctr_nll=-22.9197 | Val ctr_mse=0.021812 | Val conf=0.517
[Epoch 0655] beta=0.001 gamma=0.001 | Train total=-0.0158 | Val total=-0.0164 | Val ctr_nll=-21.4888 | Val ctr_mse=0.021624 | Val conf=0.529
[Epoch 0656] beta=0.001 gamma=0.001 | Train total=-0.0159 | Val total=-0.0155 | Val ctr_nll=-20.4948 | Val ctr_mse=0.021508 | Val conf=0.518
[Epoch 0657] beta=0.001 gamma=0.001 | Train total=-0.0151 | Val total=-0.0152 | Val ctr_nll=-20.3944 | Val ctr_mse=0.022708 | Val conf=0.544
[Epoch 0658] beta=0.001 gamma=0.001 | Train total=-0.0152 | Val total=-0.0153 | Val ctr_nll=-20.6522 | Val ctr_mse=0.024134 | Val conf=0.515
[Epoch 0659] beta=0.001 gamma=0.001 | Train total=-0.0153 | Val total=-0.0151 | Val ctr_nll=-20.2996 | Val ctr_mse=0.024310 | Val conf=0.533
[Epoch 0660] beta=0.001 gamma=0.001 | Train total=-0.0136 | Val total=-0.0137 | Val ctr_nll=-18.5713 | Val ctr_mse=0.025555 | Val conf=0.523
[Epoch 0661] beta=0.001 gamma=0.001 | Train total=-0.0155 | Val total=-0.0160 | Val ctr_nll=-21.1103 | Val ctr_mse=0.023232 | Val conf=0.537
[Epoch 0662] beta=0.001 gamma=0.001 | Train total=-0.0166 | Val total=-0.0176 | Val ctr_nll=-22.6278 | Val ctr_mse=0.021563 | Val conf=0.515
[Epoch 0663] beta=0.001 gamma=0.001 | Train total=-0.0167 | Val total=-0.0181 | Val ctr_nll=-23.5640 | Val ctr_mse=0.021990 | Val conf=0.536
[Epoch 0664] beta=0.001 gamma=0.001 | Train total=-0.0170 | Val total=-0.0189 | Val ctr_nll=-24.2240 | Val ctr_mse=0.021207 | Val conf=0.537
[Epoch 0665] beta=0.001 gamma=0.001 | Train total=-0.0157 | Val total=-0.0159 | Val ctr_nll=-21.2888 | Val ctr_mse=0.021831 | Val conf=0.567
[Epoch 0666] beta=0.001 gamma=0.001 | Train total=-0.0141 | Val total=-0.0141 | Val ctr_nll=-19.4901 | Val ctr_mse=0.023257 | Val conf=0.560
[Epoch 0667] beta=0.001 gamma=0.001 | Train total=-0.0155 | Val total=-0.0171 | Val ctr_nll=-22.1793 | Val ctr_mse=0.021608 | Val conf=0.520
[Epoch 0668] beta=0.001 gamma=0.001 | Train total=-0.0166 | Val total=-0.0180 | Val ctr_nll=-23.3246 | Val ctr_mse=0.021437 | Val conf=0.544
[Epoch 0669] beta=0.001 gamma=0.001 | Train total=-0.0172 | Val total=-0.0182 | Val ctr_nll=-23.4082 | Val ctr_mse=0.019984 | Val conf=0.532
[Epoch 0670] beta=0.001 gamma=0.001 | Train total=-0.0169 | Val total=-0.0165 | Val ctr_nll=-21.5695 | Val ctr_mse=0.023634 | Val conf=0.524
[Epoch 0671] beta=0.001 gamma=0.001 | Train total=-0.0167 | Val total=-0.0184 | Val ctr_nll=-23.7539 | Val ctr_mse=0.020201 | Val conf=0.531
[Epoch 0672] beta=0.001 gamma=0.001 | Train total=-0.0153 | Val total=-0.0166 | Val ctr_nll=-22.0629 | Val ctr_mse=0.024491 | Val conf=0.560
[Epoch 0673] beta=0.001 gamma=0.001 | Train total=-0.0144 | Val total=-0.0174 | Val ctr_nll=-22.7100 | Val ctr_mse=0.024662 | Val conf=0.567
[Epoch 0674] beta=0.001 gamma=0.001 | Train total=-0.0155 | Val total=-0.0165 | Val ctr_nll=-21.5864 | Val ctr_mse=0.023044 | Val conf=0.536
[Epoch 0675] beta=0.001 gamma=0.001 | Train total=-0.0167 | Val total=-0.0174 | Val ctr_nll=-22.6466 | Val ctr_mse=0.021627 | Val conf=0.541
[Epoch 0676] beta=0.001 gamma=0.001 | Train total=-0.0173 | Val total=-0.0186 | Val ctr_nll=-23.8646 | Val ctr_mse=0.020759 | Val conf=0.541
[Epoch 0677] beta=0.001 gamma=0.001 | Train total=-0.0173 | Val total=-0.0192 | Val ctr_nll=-24.4867 | Val ctr_mse=0.021810 | Val conf=0.556
[Epoch 0678] beta=0.001 gamma=0.001 | Train total=-0.0163 | Val total=-0.0191 | Val ctr_nll=-24.1969 | Val ctr_mse=0.020578 | Val conf=0.541
[Epoch 0679] beta=0.001 gamma=0.001 | Train total=-0.0166 | Val total=-0.0163 | Val ctr_nll=-21.6481 | Val ctr_mse=0.023011 | Val conf=0.555
[Epoch 0680] beta=0.001 gamma=0.001 | Train total=-0.0156 | Val total=-0.0179 | Val ctr_nll=-23.0111 | Val ctr_mse=0.023746 | Val conf=0.559
[Epoch 0681] beta=0.001 gamma=0.001 | Train total=-0.0150 | Val total=-0.0170 | Val ctr_nll=-22.1509 | Val ctr_mse=0.022012 | Val conf=0.516
[Epoch 0682] beta=0.001 gamma=0.001 | Train total=-0.0152 | Val total=-0.0166 | Val ctr_nll=-21.7926 | Val ctr_mse=0.023534 | Val conf=0.547
[Epoch 0683] beta=0.001 gamma=0.001 | Train total=-0.0152 | Val total=-0.0152 | Val ctr_nll=-20.5210 | Val ctr_mse=0.023051 | Val conf=0.546
[Epoch 0684] beta=0.001 gamma=0.001 | Train total=-0.0167 | Val total=-0.0184 | Val ctr_nll=-23.5455 | Val ctr_mse=0.021684 | Val conf=0.542
[Epoch 0685] beta=0.001 gamma=0.001 | Train total=-0.0170 | Val total=-0.0172 | Val ctr_nll=-22.5488 | Val ctr_mse=0.023597 | Val conf=0.567
[Epoch 0686] beta=0.001 gamma=0.001 | Train total=-0.0160 | Val total=-0.0155 | Val ctr_nll=-20.7267 | Val ctr_mse=0.023999 | Val conf=0.536
[Epoch 0687] beta=0.001 gamma=0.001 | Train total=-0.0115 | Val total=-0.0116 | Val ctr_nll=-17.1546 | Val ctr_mse=0.026619 | Val conf=0.566
[Epoch 0688] beta=0.001 gamma=0.001 | Train total=-0.0116 | Val total=-0.0108 | Val ctr_nll=-15.9132 | Val ctr_mse=0.029476 | Val conf=0.542
[Epoch 0689] beta=0.001 gamma=0.001 | Train total=-0.0129 | Val total=-0.0148 | Val ctr_nll=-19.6518 | Val ctr_mse=0.024880 | Val conf=0.555
[Epoch 0690] beta=0.001 gamma=0.001 | Train total=-0.0154 | Val total=-0.0171 | Val ctr_nll=-22.0676 | Val ctr_mse=0.021240 | Val conf=0.521
[Epoch 0691] beta=0.001 gamma=0.001 | Train total=-0.0169 | Val total=-0.0181 | Val ctr_nll=-23.2529 | Val ctr_mse=0.019457 | Val conf=0.533
[Epoch 0692] beta=0.001 gamma=0.001 | Train total=-0.0173 | Val total=-0.0193 | Val ctr_nll=-24.3255 | Val ctr_mse=0.019903 | Val conf=0.527
[Epoch 0693] beta=0.001 gamma=0.001 | Train total=-0.0179 | Val total=-0.0182 | Val ctr_nll=-23.4395 | Val ctr_mse=0.021884 | Val conf=0.540
[Epoch 0694] beta=0.001 gamma=0.001 | Train total=-0.0179 | Val total=-0.0190 | Val ctr_nll=-24.5633 | Val ctr_mse=0.020343 | Val conf=0.546
[Epoch 0695] beta=0.001 gamma=0.001 | Train total=-0.0175 | Val total=-0.0187 | Val ctr_nll=-23.7467 | Val ctr_mse=0.021113 | Val conf=0.533
[Epoch 0696] beta=0.001 gamma=0.001 | Train total=-0.0180 | Val total=-0.0169 | Val ctr_nll=-22.2530 | Val ctr_mse=0.021504 | Val conf=0.547
[Epoch 0697] beta=0.001 gamma=0.001 | Train total=-0.0143 | Val total=-0.0185 | Val ctr_nll=-23.3645 | Val ctr_mse=0.022282 | Val conf=0.532
[Epoch 0698] beta=0.001 gamma=0.001 | Train total=-0.0133 | Val total=-0.0113 | Val ctr_nll=-16.6761 | Val ctr_mse=0.025149 | Val conf=0.568
[Epoch 0699] beta=0.001 gamma=0.001 | Train total=-0.0141 | Val total=-0.0141 | Val ctr_nll=-19.1584 | Val ctr_mse=0.024299 | Val conf=0.501
[Epoch 0700] beta=0.001 gamma=0.001 | Train total=-0.0165 | Val total=-0.0183 | Val ctr_nll=-23.4767 | Val ctr_mse=0.021250 | Val conf=0.526
[Epoch 0701] beta=0.001 gamma=0.001 | Train total=-0.0173 | Val total=-0.0176 | Val ctr_nll=-22.5671 | Val ctr_mse=0.019613 | Val conf=0.507
[Epoch 0702] beta=0.001 gamma=0.001 | Train total=-0.0175 | Val total=-0.0196 | Val ctr_nll=-24.7995 | Val ctr_mse=0.019290 | Val conf=0.520
[Epoch 0703] beta=0.001 gamma=0.001 | Train total=-0.0181 | Val total=-0.0176 | Val ctr_nll=-22.9560 | Val ctr_mse=0.019899 | Val conf=0.523
[Epoch 0704] beta=0.001 gamma=0.001 | Train total=-0.0180 | Val total=-0.0193 | Val ctr_nll=-24.4914 | Val ctr_mse=0.021331 | Val conf=0.534
[Epoch 0705] beta=0.001 gamma=0.001 | Train total=-0.0185 | Val total=-0.0199 | Val ctr_nll=-25.1659 | Val ctr_mse=0.018852 | Val conf=0.529
[Epoch 0706] beta=0.001 gamma=0.001 | Train total=-0.0176 | Val total=-0.0148 | Val ctr_nll=-19.9439 | Val ctr_mse=0.021313 | Val conf=0.535
[Epoch 0707] beta=0.001 gamma=0.001 | Train total=-0.0174 | Val total=-0.0155 | Val ctr_nll=-20.8573 | Val ctr_mse=0.022253 | Val conf=0.563
[Epoch 0708] beta=0.001 gamma=0.001 | Train total=-0.0176 | Val total=-0.0183 | Val ctr_nll=-23.5933 | Val ctr_mse=0.020609 | Val conf=0.543
[Epoch 0709] beta=0.001 gamma=0.001 | Train total=-0.0179 | Val total=-0.0175 | Val ctr_nll=-22.8621 | Val ctr_mse=0.020018 | Val conf=0.534
[Epoch 0710] beta=0.001 gamma=0.001 | Train total=-0.0182 | Val total=-0.0200 | Val ctr_nll=-24.9511 | Val ctr_mse=0.019358 | Val conf=0.525
[Epoch 0711] beta=0.001 gamma=0.001 | Train total=-0.0179 | Val total=-0.0160 | Val ctr_nll=-21.0593 | Val ctr_mse=0.022765 | Val conf=0.496
[Epoch 0712] beta=0.001 gamma=0.001 | Train total=-0.0156 | Val total=-0.0181 | Val ctr_nll=-23.0700 | Val ctr_mse=0.021567 | Val conf=0.522
[Epoch 0713] beta=0.001 gamma=0.001 | Train total=-0.0167 | Val total=-0.0167 | Val ctr_nll=-22.1659 | Val ctr_mse=0.020965 | Val conf=0.551
[Epoch 0714] beta=0.001 gamma=0.001 | Train total=-0.0162 | Val total=-0.0178 | Val ctr_nll=-22.8076 | Val ctr_mse=0.021177 | Val conf=0.530
[Epoch 0715] beta=0.001 gamma=0.001 | Train total=-0.0171 | Val total=-0.0169 | Val ctr_nll=-22.0090 | Val ctr_mse=0.020468 | Val conf=0.528
[Epoch 0716] beta=0.001 gamma=0.001 | Train total=-0.0173 | Val total=-0.0186 | Val ctr_nll=-23.9123 | Val ctr_mse=0.020508 | Val conf=0.535
[Epoch 0717] beta=0.001 gamma=0.001 | Train total=-0.0172 | Val total=-0.0156 | Val ctr_nll=-20.8446 | Val ctr_mse=0.020929 | Val conf=0.537
[Epoch 0718] beta=0.001 gamma=0.001 | Train total=-0.0171 | Val total=-0.0196 | Val ctr_nll=-24.5492 | Val ctr_mse=0.019132 | Val conf=0.522
[Epoch 0719] beta=0.001 gamma=0.001 | Train total=-0.0169 | Val total=-0.0159 | Val ctr_nll=-21.0301 | Val ctr_mse=0.022916 | Val conf=0.491
[Epoch 0720] beta=0.001 gamma=0.001 | Train total=-0.0168 | Val total=-0.0178 | Val ctr_nll=-22.9787 | Val ctr_mse=0.020402 | Val conf=0.528
[Epoch 0721] beta=0.001 gamma=0.001 | Train total=-0.0160 | Val total=-0.0193 | Val ctr_nll=-24.5870 | Val ctr_mse=0.020982 | Val conf=0.549
[Epoch 0722] beta=0.001 gamma=0.001 | Train total=-0.0178 | Val total=-0.0189 | Val ctr_nll=-23.8027 | Val ctr_mse=0.019806 | Val conf=0.497
[Epoch 0723] beta=0.001 gamma=0.001 | Train total=-0.0160 | Val total=-0.0162 | Val ctr_nll=-21.4709 | Val ctr_mse=0.022950 | Val conf=0.512
[Epoch 0724] beta=0.001 gamma=0.001 | Train total=-0.0170 | Val total=-0.0181 | Val ctr_nll=-23.0769 | Val ctr_mse=0.020403 | Val conf=0.526
[Epoch 0725] beta=0.001 gamma=0.001 | Train total=-0.0175 | Val total=-0.0165 | Val ctr_nll=-21.6460 | Val ctr_mse=0.021242 | Val conf=0.529
[Epoch 0726] beta=0.001 gamma=0.001 | Train total=-0.0152 | Val total=-0.0177 | Val ctr_nll=-22.7868 | Val ctr_mse=0.021777 | Val conf=0.517
[Epoch 0727] beta=0.001 gamma=0.001 | Train total=-0.0151 | Val total=-0.0163 | Val ctr_nll=-21.2096 | Val ctr_mse=0.022208 | Val conf=0.494
[Epoch 0728] beta=0.001 gamma=0.001 | Train total=-0.0157 | Val total=-0.0166 | Val ctr_nll=-21.6266 | Val ctr_mse=0.020680 | Val conf=0.499
[Epoch 0729] beta=0.001 gamma=0.001 | Train total=-0.0173 | Val total=-0.0190 | Val ctr_nll=-23.9431 | Val ctr_mse=0.019553 | Val conf=0.512
[Epoch 0730] beta=0.001 gamma=0.001 | Train total=-0.0183 | Val total=-0.0134 | Val ctr_nll=-19.0220 | Val ctr_mse=0.020322 | Val conf=0.549
[Epoch 0731] beta=0.001 gamma=0.001 | Train total=-0.0146 | Val total=-0.0193 | Val ctr_nll=-24.4672 | Val ctr_mse=0.019522 | Val conf=0.542
[Epoch 0732] beta=0.001 gamma=0.001 | Train total=-0.0174 | Val total=-0.0169 | Val ctr_nll=-22.1477 | Val ctr_mse=0.020071 | Val conf=0.533
[Epoch 0733] beta=0.001 gamma=0.001 | Train total=-0.0173 | Val total=-0.0186 | Val ctr_nll=-23.6754 | Val ctr_mse=0.019602 | Val conf=0.522
[Epoch 0734] beta=0.001 gamma=0.001 | Train total=-0.0179 | Val total=-0.0183 | Val ctr_nll=-23.5527 | Val ctr_mse=0.019938 | Val conf=0.526
[Epoch 0735] beta=0.001 gamma=0.001 | Train total=-0.0176 | Val total=-0.0161 | Val ctr_nll=-21.1789 | Val ctr_mse=0.023297 | Val conf=0.529
[Epoch 0736] beta=0.001 gamma=0.001 | Train total=-0.0178 | Val total=-0.0177 | Val ctr_nll=-22.8653 | Val ctr_mse=0.021835 | Val conf=0.539
[Epoch 0737] beta=0.001 gamma=0.001 | Train total=-0.0186 | Val total=-0.0151 | Val ctr_nll=-20.5107 | Val ctr_mse=0.020448 | Val conf=0.546
[Epoch 0738] beta=0.001 gamma=0.001 | Train total=-0.0171 | Val total=-0.0202 | Val ctr_nll=-25.3953 | Val ctr_mse=0.018952 | Val conf=0.526
[Epoch 0739] beta=0.001 gamma=0.001 | Train total=-0.0187 | Val total=-0.0197 | Val ctr_nll=-24.9758 | Val ctr_mse=0.018991 | Val conf=0.533
[Epoch 0740] beta=0.001 gamma=0.001 | Train total=-0.0183 | Val total=-0.0148 | Val ctr_nll=-20.2566 | Val ctr_mse=0.021871 | Val conf=0.553
[Epoch 0741] beta=0.001 gamma=0.001 | Train total=-0.0151 | Val total=-0.0171 | Val ctr_nll=-22.3204 | Val ctr_mse=0.019510 | Val conf=0.504
[Epoch 0742] beta=0.001 gamma=0.001 | Train total=-0.0154 | Val total=-0.0169 | Val ctr_nll=-21.9766 | Val ctr_mse=0.021635 | Val conf=0.525
[Epoch 0743] beta=0.001 gamma=0.001 | Train total=-0.0176 | Val total=-0.0181 | Val ctr_nll=-23.2830 | Val ctr_mse=0.019162 | Val conf=0.521
[Epoch 0744] beta=0.001 gamma=0.001 | Train total=-0.0182 | Val total=-0.0193 | Val ctr_nll=-24.6287 | Val ctr_mse=0.019378 | Val conf=0.530
[Epoch 0745] beta=0.001 gamma=0.001 | Train total=-0.0181 | Val total=-0.0190 | Val ctr_nll=-24.1194 | Val ctr_mse=0.019670 | Val conf=0.534
[Epoch 0746] beta=0.001 gamma=0.001 | Train total=-0.0185 | Val total=-0.0187 | Val ctr_nll=-23.9964 | Val ctr_mse=0.020375 | Val conf=0.521
[Epoch 0747] beta=0.001 gamma=0.001 | Train total=-0.0188 | Val total=-0.0167 | Val ctr_nll=-21.8543 | Val ctr_mse=0.023395 | Val conf=0.523
[Epoch 0748] beta=0.001 gamma=0.001 | Train total=-0.0161 | Val total=-0.0161 | Val ctr_nll=-21.5895 | Val ctr_mse=0.022342 | Val conf=0.506
[Epoch 0749] beta=0.001 gamma=0.001 | Train total=-0.0155 | Val total=-0.0163 | Val ctr_nll=-21.2715 | Val ctr_mse=0.023496 | Val conf=0.519
[Epoch 0750] beta=0.001 gamma=0.001 | Train total=-0.0167 | Val total=-0.0180 | Val ctr_nll=-22.9803 | Val ctr_mse=0.019732 | Val conf=0.505
[Epoch 0751] beta=0.001 gamma=0.001 | Train total=-0.0168 | Val total=-0.0168 | Val ctr_nll=-22.2316 | Val ctr_mse=0.020693 | Val conf=0.520
[Epoch 0752] beta=0.001 gamma=0.001 | Train total=-0.0184 | Val total=-0.0170 | Val ctr_nll=-22.5025 | Val ctr_mse=0.022161 | Val conf=0.572
[Epoch 0753] beta=0.001 gamma=0.001 | Train total=-0.0170 | Val total=-0.0161 | Val ctr_nll=-21.4714 | Val ctr_mse=0.020857 | Val conf=0.544
[Epoch 0754] beta=0.001 gamma=0.001 | Train total=-0.0141 | Val total=-0.0144 | Val ctr_nll=-19.4167 | Val ctr_mse=0.022639 | Val conf=0.502
[Epoch 0755] beta=0.001 gamma=0.001 | Train total=-0.0155 | Val total=-0.0149 | Val ctr_nll=-19.9207 | Val ctr_mse=0.021155 | Val conf=0.499
[Epoch 0756] beta=0.001 gamma=0.001 | Train total=-0.0139 | Val total=-0.0147 | Val ctr_nll=-20.0158 | Val ctr_mse=0.023202 | Val conf=0.536
[Epoch 0757] beta=0.001 gamma=0.001 | Train total=-0.0160 | Val total=-0.0180 | Val ctr_nll=-23.1532 | Val ctr_mse=0.021012 | Val conf=0.529
[Epoch 0758] beta=0.001 gamma=0.001 | Train total=-0.0181 | Val total=-0.0200 | Val ctr_nll=-25.0376 | Val ctr_mse=0.018893 | Val conf=0.538
[Epoch 0759] beta=0.001 gamma=0.001 | Train total=-0.0182 | Val total=-0.0190 | Val ctr_nll=-24.1319 | Val ctr_mse=0.019629 | Val conf=0.519
[Epoch 0760] beta=0.001 gamma=0.001 | Train total=-0.0185 | Val total=-0.0185 | Val ctr_nll=-24.2452 | Val ctr_mse=0.020806 | Val conf=0.549
[Epoch 0761] beta=0.001 gamma=0.001 | Train total=-0.0189 | Val total=-0.0190 | Val ctr_nll=-24.2369 | Val ctr_mse=0.019174 | Val conf=0.537
[Epoch 0762] beta=0.001 gamma=0.001 | Train total=-0.0188 | Val total=-0.0184 | Val ctr_nll=-23.7279 | Val ctr_mse=0.019950 | Val conf=0.533
[Epoch 0763] beta=0.001 gamma=0.001 | Train total=-0.0181 | Val total=-0.0176 | Val ctr_nll=-22.7346 | Val ctr_mse=0.020048 | Val conf=0.533
[Epoch 0764] beta=0.001 gamma=0.001 | Train total=-0.0163 | Val total=-0.0156 | Val ctr_nll=-20.9226 | Val ctr_mse=0.022523 | Val conf=0.549
[Epoch 0765] beta=0.001 gamma=0.001 | Train total=-0.0163 | Val total=-0.0196 | Val ctr_nll=-24.8394 | Val ctr_mse=0.019729 | Val conf=0.536
[Epoch 0766] beta=0.001 gamma=0.001 | Train total=-0.0184 | Val total=-0.0180 | Val ctr_nll=-22.9428 | Val ctr_mse=0.020648 | Val conf=0.517
[Epoch 0767] beta=0.001 gamma=0.001 | Train total=-0.0186 | Val total=-0.0211 | Val ctr_nll=-26.4952 | Val ctr_mse=0.018117 | Val conf=0.519
[Epoch 0768] beta=0.001 gamma=0.001 | Train total=-0.0187 | Val total=-0.0204 | Val ctr_nll=-25.8031 | Val ctr_mse=0.019256 | Val conf=0.547
[Epoch 0769] beta=0.001 gamma=0.001 | Train total=-0.0196 | Val total=-0.0188 | Val ctr_nll=-24.3362 | Val ctr_mse=0.018916 | Val conf=0.521
[Epoch 0770] beta=0.001 gamma=0.001 | Train total=-0.0186 | Val total=-0.0193 | Val ctr_nll=-24.8912 | Val ctr_mse=0.020639 | Val conf=0.545
[Epoch 0771] beta=0.001 gamma=0.001 | Train total=-0.0169 | Val total=-0.0174 | Val ctr_nll=-22.6538 | Val ctr_mse=0.020975 | Val conf=0.521
[Epoch 0772] beta=0.001 gamma=0.001 | Train total=-0.0175 | Val total=-0.0165 | Val ctr_nll=-21.9208 | Val ctr_mse=0.020459 | Val conf=0.518
[Epoch 0773] beta=0.001 gamma=0.001 | Train total=-0.0185 | Val total=-0.0204 | Val ctr_nll=-25.7111 | Val ctr_mse=0.018833 | Val conf=0.547
[Epoch 0774] beta=0.001 gamma=0.001 | Train total=-0.0190 | Val total=-0.0209 | Val ctr_nll=-26.1597 | Val ctr_mse=0.018717 | Val conf=0.524
[Epoch 0775] beta=0.001 gamma=0.001 | Train total=-0.0192 | Val total=-0.0218 | Val ctr_nll=-27.2000 | Val ctr_mse=0.018169 | Val conf=0.529
[Epoch 0776] beta=0.001 gamma=0.001 | Train total=-0.0186 | Val total=-0.0196 | Val ctr_nll=-24.8515 | Val ctr_mse=0.019170 | Val conf=0.539
[Epoch 0777] beta=0.001 gamma=0.001 | Train total=-0.0168 | Val total=-0.0127 | Val ctr_nll=-17.5010 | Val ctr_mse=0.027584 | Val conf=0.472
[Epoch 0778] beta=0.001 gamma=0.001 | Train total=-0.0170 | Val total=-0.0154 | Val ctr_nll=-20.7687 | Val ctr_mse=0.019279 | Val conf=0.521
[Epoch 0779] beta=0.001 gamma=0.001 | Train total=-0.0172 | Val total=-0.0179 | Val ctr_nll=-23.3405 | Val ctr_mse=0.021591 | Val conf=0.534
[Epoch 0780] beta=0.001 gamma=0.001 | Train total=-0.0182 | Val total=-0.0139 | Val ctr_nll=-19.1178 | Val ctr_mse=0.021178 | Val conf=0.548
[Epoch 0781] beta=0.001 gamma=0.001 | Train total=-0.0160 | Val total=-0.0138 | Val ctr_nll=-18.9287 | Val ctr_mse=0.024240 | Val conf=0.469
[Epoch 0782] beta=0.001 gamma=0.001 | Train total=-0.0127 | Val total=-0.0145 | Val ctr_nll=-19.7652 | Val ctr_mse=0.022404 | Val conf=0.513
[Epoch 0783] beta=0.001 gamma=0.001 | Train total=-0.0160 | Val total=-0.0167 | Val ctr_nll=-21.9121 | Val ctr_mse=0.022185 | Val conf=0.543
[Epoch 0784] beta=0.001 gamma=0.001 | Train total=-0.0179 | Val total=-0.0194 | Val ctr_nll=-24.5670 | Val ctr_mse=0.019006 | Val conf=0.505
[Epoch 0785] beta=0.001 gamma=0.001 | Train total=-0.0185 | Val total=-0.0173 | Val ctr_nll=-22.4487 | Val ctr_mse=0.019583 | Val conf=0.526
[Epoch 0786] beta=0.001 gamma=0.001 | Train total=-0.0184 | Val total=-0.0150 | Val ctr_nll=-20.1512 | Val ctr_mse=0.021482 | Val conf=0.526
[Epoch 0787] beta=0.001 gamma=0.001 | Train total=-0.0150 | Val total=-0.0161 | Val ctr_nll=-21.0421 | Val ctr_mse=0.021844 | Val conf=0.536
[Epoch 0788] beta=0.001 gamma=0.001 | Train total=-0.0165 | Val total=-0.0158 | Val ctr_nll=-21.0915 | Val ctr_mse=0.021145 | Val conf=0.558
[Epoch 0789] beta=0.001 gamma=0.001 | Train total=-0.0174 | Val total=-0.0165 | Val ctr_nll=-22.1126 | Val ctr_mse=0.020844 | Val conf=0.552
[Epoch 0790] beta=0.001 gamma=0.001 | Train total=-0.0174 | Val total=-0.0183 | Val ctr_nll=-23.5131 | Val ctr_mse=0.020361 | Val conf=0.537
[Epoch 0791] beta=0.001 gamma=0.001 | Train total=-0.0183 | Val total=-0.0176 | Val ctr_nll=-22.9698 | Val ctr_mse=0.020879 | Val conf=0.542
[Epoch 0792] beta=0.001 gamma=0.001 | Train total=-0.0179 | Val total=-0.0187 | Val ctr_nll=-23.6638 | Val ctr_mse=0.021034 | Val conf=0.515
[Epoch 0793] beta=0.001 gamma=0.001 | Train total=-0.0174 | Val total=-0.0202 | Val ctr_nll=-25.4353 | Val ctr_mse=0.017712 | Val conf=0.537
[Epoch 0794] beta=0.001 gamma=0.001 | Train total=-0.0182 | Val total=-0.0177 | Val ctr_nll=-22.7491 | Val ctr_mse=0.023461 | Val conf=0.536
[Epoch 0795] beta=0.001 gamma=0.001 | Train total=-0.0153 | Val total=-0.0167 | Val ctr_nll=-21.7395 | Val ctr_mse=0.023534 | Val conf=0.533
[Epoch 0796] beta=0.001 gamma=0.001 | Train total=-0.0178 | Val total=-0.0175 | Val ctr_nll=-22.9893 | Val ctr_mse=0.020353 | Val conf=0.533
[Epoch 0797] beta=0.001 gamma=0.001 | Train total=-0.0185 | Val total=-0.0166 | Val ctr_nll=-21.7157 | Val ctr_mse=0.021344 | Val conf=0.527
[Epoch 0798] beta=0.001 gamma=0.001 | Train total=-0.0147 | Val total=-0.0150 | Val ctr_nll=-19.9696 | Val ctr_mse=0.022854 | Val conf=0.532
[Epoch 0799] beta=0.001 gamma=0.001 | Train total=-0.0162 | Val total=-0.0166 | Val ctr_nll=-21.6804 | Val ctr_mse=0.022732 | Val conf=0.546
[Epoch 0800] beta=0.001 gamma=0.001 | Train total=-0.0161 | Val total=-0.0195 | Val ctr_nll=-24.6431 | Val ctr_mse=0.020084 | Val conf=0.542
[Epoch 0801] beta=0.001 gamma=0.001 | Train total=-0.0182 | Val total=-0.0169 | Val ctr_nll=-22.1535 | Val ctr_mse=0.022568 | Val conf=0.568
